Movie Name,stars,votes,genre,Gross ,popularity,Certification,genre1,genre2,genre3,star1,star2,star3,star4
The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",2753971,"Action, Crime, Drama","534,858,444",23,PG-13,Action, Crime, Drama,Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine
The Lord of the Rings: The Return of the King,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",1904118,"Action, Adventure, Drama","377,845,905",284,PG-13,Action, Adventure, Drama,Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom
Spider-Man: Across the Spider-Verse,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez",197912,"Animation, Action, Adventure",,18,PG,Animation, Action, Adventure,Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez
Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",2444711,"Action, Adventure, Sci-Fi","292,576,195",21,PG-13,Action, Adventure, Sci-Fi,Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe
The Lord of the Rings: The Fellowship of the Ring,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",1932397,"Action, Adventure, Drama","315,544,750",153,PG-13,Action, Adventure, Drama,Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean
The Lord of the Rings: The Two Towers,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",1718283,"Action, Adventure, Drama","342,551,365",605,PG-13,Action, Adventure, Drama,Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom
The Matrix,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",1976554,"Action, Sci-Fi","171,479,930",237,R,Action, Sci-Fi,,Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving
Star Wars: Episode V - The Empire Strikes Back,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1333296,"Action, Adventure, Fantasy","290,475,067",815,PG,Action, Adventure, Fantasy,Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams
Soorarai Pottru,"Suriya, Paresh Rawal, Aparna Balamurali, Urvashi",120199,"Action, Drama",,-,TV-MA,Action, Drama,,Suriya, Paresh Rawal, Aparna Balamurali, Urvashi
Terminator 2: Judgment Day,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",1134109,"Action, Sci-Fi","204,843,350",259,R,Action, Sci-Fi,,Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick
Star Wars: Episode IV - A New Hope,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",1405363,"Action, Adventure, Fantasy","322,740,140",363,PG,Action, Adventure, Fantasy,Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness
Seven Samurai,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",355770,"Action, Drama","269,061",1077,Not Rated,Action, Drama,,Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki
Harakiri,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba",62592,"Action, Drama, Mystery",,2283,Not Rated,Action, Drama, Mystery,Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba
Sita Ramam,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth",61750,"Action, Drama, Mystery",,-,U,Action, Drama, Mystery,Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth
Gladiator,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",1550560,"Action, Adventure, Drama","187,705,427",175,R,Action, Adventure, Drama,Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed
Léon: The Professional,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",1200807,"Action, Crime, Drama","19,501,238",258,R,Action, Crime, Drama,Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello
The Dark Knight Rises,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",1761471,"Action, Drama, Thriller","448,139,099",85,PG-13,Action, Drama, Thriller,Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman
Spider-Man: Into the Spider-Verse,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",615352,"Animation, Action, Adventure","190,241,310",110,PG,Animation, Action, Adventure,Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali
Raiders of the Lost Ark,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies",1006734,"Action, Adventure","248,159,971",114,PG,Action, Adventure,,Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies
Avengers: Endgame,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",1200751,"Action, Adventure, Drama","858,373,000",136,PG-13,Action, Adventure, Drama,Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth
Aliens,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",738676,"Action, Adventure, Sci-Fi","85,160,248",241,R,Action, Adventure, Sci-Fi,Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser
Oldboy,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok",603536,"Action, Drama, Mystery","707,481",268,R,Action, Drama, Mystery,Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok
Avengers: Infinity War,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",1142600,"Action, Adventure, Sci-Fi","678,815,482",270,PG-13,Action, Adventure, Sci-Fi,Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans
Kaithi,"Karthi, Narain, Arjun Das, George Maryan",36951,"Action, Adventure, Crime",,-,Not Rated,Action, Adventure, Crime,Karthi, Narain, Arjun Das, George Maryan
Asuran,"Dhanush, Manju Warrier, Prakash Raj, Pasupathy",31623,"Action, Drama",,-,Not Rated,Action, Drama,,Dhanush, Manju Warrier, Prakash Raj, Pasupathy
Top Gun: Maverick,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",616704,"Action, Drama","718,732,821",58,PG-13,Action, Drama,,Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer
Heat,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",685650,"Action, Crime, Drama","67,436,818",145,R,Action, Crime, Drama,Al Pacino, Robert De Niro, Val Kilmer, Jon Voight
Star Wars: Episode VI - Return of the Jedi,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1086855,"Action, Adventure, Fantasy","309,125,409",1059,PG,Action, Adventure, Fantasy,Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams
Princess Mononoke,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup",411759,"Animation, Action, Adventure","2,375,308",1299,PG-13,Animation, Action, Adventure,Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup
North by Northwest,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",337012,"Action, Adventure, Mystery","13,275,000",2463,Approved,Action, Adventure, Mystery,Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis
Dangal,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",199763,"Action, Biography, Drama","12,391,761",3268,Not Rated,Action, Biography, Drama,Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra
Kantara,"Rishab Shetty, Kishore Kumar G., Achyuth Kumar, Sapthami Gowda",97179,"Action, Adventure, Drama",,4707,Not Rated,Action, Adventure, Drama,Rishab Shetty, Kishore Kumar G., Achyuth Kumar, Sapthami Gowda
